DopingConcentration(C1(nodnum1_msh)) X,DopingConcentration(C1(nodnum1_msh)) Y
192.16055,-1e+15
192.74054,-1e+15
192.74663,-1e+15
193.32663,-1e+15
193.33272,-1e+15
193.9127,-1e+15
193.91879,-1e+15
194.49879,-1e+15
194.50488,-1e+15
195.08488,-1e+15
195.09097,-1e+15
195.67096,-1e+15
195.67705,-1e+15
196.25705,-1e+15
196.26314,-1e+15
196.84312,-1e+15
196.84921,-1e+15
197.42921,-1e+15
197.4353,-1e+15
198.0153,-1e+15
198.02139,-1e+15
198.60138,-1e+15
198.60747,-1e+15
199.18747,-1e+15
199.19356,-1e+15
199.77354,-1e+15
199.77963,-1e+15
200.35963,-1e+15
200.36572,-1e+15
200.94572,-1e+15
200.95181,-1e+15
201.5318,-1e+15
201.53789,-1e+15
202.11789,-1e+15
202.12398,-1e+15
202.70396,-1e+15
202.71005,-1e+15
203.29005,-1e+15
203.29614,-1e+15
203.87614,-1e+15
203.88223,-1e+15
204.46222,-1e+15
204.46831,-1e+15
205.04831,-1e+15
205.0544,-1e+15
205.63438,-1e+15
205.64047,-1e+15
206.22047,-1e+15
206.22656,-1e+15
206.80656,-1e+15
206.81265,-1e+15
207.39264,-1e+15
207.39873,-1e+15
207.97873,-1e+15
207.98482,-1e+15
208.5648,-1e+15
208.57089,-1e+15
209.15089,-1e+15
209.15698,-1e+15
209.73698,-1e+15
209.74307,-1e+15
210.32306,-1e+15
210.32915,-1e+15
210.90915,-1e+15
210.91524,-1e+15
211.49522,-1e+15
211.50131,-1e+15
212.08131,-1e+15
212.0874,-1e+15
212.6674,-1e+15
212.67349,-1e+15
213.25348,-1e+15
213.25957,-1e+15
213.83957,-1e+15
213.84566,-1e+15
214.42564,-1e+15
214.43173,-1e+15
215.01173,-1e+15
215.01782,-1e+15
215.59782,-1e+15
215.60391,-1e+15
216.1839,-1e+15
216.18999,-1e+15
216.76999,-1e+15
216.77608,-1e+15
217.35606,-1e+15
217.36215,-1e+15
217.94215,-1e+15
217.94824,-1e+15
218.52824,-1e+15
218.53433,-1e+15
219.11432,-1e+15
219.12041,-1e+15
219.70041,-1e+15
219.7065,-1e+15
220.28648,-1e+15
220.29257,-1e+15
220.87257,-1e+15
220.87866,-1e+15
221.45866,-1e+15
221.46475,-1e+15
222.04474,-1e+15
222.05083,-1e+15
222.63083,-1e+15
222.63692,-1e+15
223.2169,-1e+15
223.22299,-1e+15
223.80299,-1e+15
223.80908,-1e+15
224.38908,-1e+15
224.39517,-1e+15
224.97516,-1e+15
224.98125,-1e+15
225.56125,-1e+15
225.56734,-1e+15
226.14732,-1e+15
226.15341,-1e+15
226.73341,-1e+15
226.7395,-1e+15
227.3195,-1e+15
227.32559,-1e+15
227.90558,-1e+15
227.91167,-1e+15
228.49167,-1e+15
228.49776,-1e+15
229.07774,-1e+15
229.08383,-1e+15
229.66383,-1e+15
229.66992,-1e+15
230.24992,-1e+15
230.25601,-1e+15
230.836,-1e+15
230.84209,-1e+15
231.42209,-1e+15
231.42818,-1e+15
232.00816,-1e+15
232.01425,-1e+15
232.59425,-1e+15
232.60034,-1e+15
233.18034,-1e+15
233.18643,-1e+15
233.76642,-1e+15
233.77251,-1e+15
234.35251,-1e+15
234.3586,-1e+15
234.93858,-1e+15
234.94467,-1e+15
235.52467,-1e+15
235.53076,-1e+15
236.11076,-1e+15
236.11685,-1e+15
236.69684,-1e+15
236.70293,-1e+15
237.28293,-1e+15
237.28902,-1e+15
237.869,-1e+15
237.87509,-1e+15
238.45509,-1e+15
238.46118,-1e+15
239.04118,-1e+15
239.04727,-1e+15
239.62726,-1e+15
239.63335,-1e+15
240.21335,-1e+15
240.21944,-1e+15
240.79942,-1e+15
240.80551,-1e+15
241.38551,-1e+15
